id,name,title,organization,org_id,notes,num_resources,license,created,updated,url
ff3b7ff4-ca60-4095-8414-5b869b8ff57d,laporan-pelaksanaan-fasilitasi-pelaksanaan-dan-penelitian-kelembagaan-dan-ketatalaksanaan,Laporan Pelaksanaan Fasilitasi Pelaksanaan dan Evaluasi Penelitian dan Pengembangan Bidang Kelembagaan dan Ketatalaksanaan,Badan Perencanaan Pembangunan Daerah Kabupaten Serang,79253ca9-709b-411e-8170-fdc8fc2c428e,Jumlah Laporan Pelaksanaan Fasilitasi Pelaksanaan dan Evaluasi Penelitian dan Pengembangan Bidang Kelembagaan dan Ketatalaksanaan,1,Open Data Commons Attribution License,2024-09-10,2024-09-10,https://opendata.serangkab.go.id/en_AU/dataset/laporan-pelaksanaan-fasilitasi-pelaksanaan-dan-penelitian-kelembagaan-dan-ketatalaksanaan
1d2057f9-e83b-4599-8e38-fd7e42f4621b,supervisi-bersama-dengan-kantor-kementerian-yang-menyelenggarakan-urusan-pemerintahan-di-bidang,Supervisi Bersama dengan Kantor Kementerian yang Menyelenggarakan Urusan Pemerintahan di Bidang Agama KabupatenKota dan Pengadilan Agama meng,Dinas Kependudukan dan Pencatatan Sipil Kabupaten Serang,f559badc-48d3-4d75-b573-43bb4b3ab540,Jumlah Supervisi Bersama dengan Kantor Kementerian yang Menyelenggarakan Urusan Pemerintahan di Bidang Agama KabupatenKota dan Pengadilan Agama meng,1,Open Data Commons Attribution License,2024-09-10,2024-09-10,https://opendata.serangkab.go.id/en_AU/dataset/supervisi-bersama-dengan-kantor-kementerian-yang-menyelenggarakan-urusan-pemerintahan-di-bidang
768782bf-850d-418e-b2d8-129eec850c75,penduduk-usia-lanjut,Penduduk Usia Lanjut,Dinas Kesehatan Kabupaten Serang,7c1399a3-29e7-4ca6-b4ea-8ce821b099cc,Jumlah Penduduk Usia Lanjut,1,Open Data Commons Attribution License,2024-09-10,2024-09-10,https://opendata.serangkab.go.id/en_AU/dataset/penduduk-usia-lanjut
ebf322f9-d47c-4131-bacb-acd93a7e32ed,sosialisasi-langsung-kepada-masyarakat-terkait-pentingnya-kepemilikan-dokumen-kependudukan,Sosialisasi langsung kepada masyarakat terkait pentingnya kepemilikan dokumen kependudukan,Dinas Kependudukan dan Pencatatan Sipil Kabupaten Serang,f559badc-48d3-4d75-b573-43bb4b3ab540,Jumlah Sosialisasi langsung kepada masyarakat terkait pentingnya kepemilikan dokumen kependudukan,1,Open Data Commons Attribution License,2024-09-10,2024-09-10,https://opendata.serangkab.go.id/en_AU/dataset/sosialisasi-langsung-kepada-masyarakat-terkait-pentingnya-kepemilikan-dokumen-kependudukan
ae4729b8-d1f4-4fa0-b590-ce515b355bd6,penduduk-terdampak-krisis-kesehatan-akibat-bencana-danatau-berpotensi,Penduduk Terdampak Krisis Kesehatan akibat bencana danatau berPotensi bencana,Dinas Kesehatan Kabupaten Serang,7c1399a3-29e7-4ca6-b4ea-8ce821b099cc,Jumlah Penduduk Terdampak Krisis Kesehatan akibat bencana danatau berPotensi bencana,1,Open Data Commons Attribution License,2024-09-10,2024-09-10,https://opendata.serangkab.go.id/en_AU/dataset/penduduk-terdampak-krisis-kesehatan-akibat-bencana-danatau-berpotensi
7a255157-4f5b-4807-8075-d5456fce6e25,rekap-lembaga-yang-memanfaatkan-data-kependudukan-provinsi-dan-kabupatenkota,Rekap Lembaga yang memanfaatkan data kependudukan provinsi dan kabupatenkota,Dinas Kependudukan dan Pencatatan Sipil Kabupaten Serang,f559badc-48d3-4d75-b573-43bb4b3ab540,Jumlah Rekap Lembaga yang memanfaatkan data kependudukan provinsi dan kabupatenkota,1,Open Data Commons Attribution License,2024-09-10,2024-09-10,https://opendata.serangkab.go.id/en_AU/dataset/rekap-lembaga-yang-memanfaatkan-data-kependudukan-provinsi-dan-kabupatenkota
990bd5d6-6a84-481c-ac9a-8376268413b0,laporan-pelaksanaan-fasilitasi-pelaksanaan-evaluasi-bidang-aparatur-reformasi-birokrasi-dataset,Laporan Pelaksanaan Fasilitasi Pelaksanaan dan Evaluasi Penelitian dan Pengembangan Bidang Aparatur dan Reformasi Birokrasi,Badan Perencanaan Pembangunan Daerah Kabupaten Serang,79253ca9-709b-411e-8170-fdc8fc2c428e,Jumlah Laporan Pelaksanaan Fasilitasi Pelaksanaan dan Evaluasi Penelitian dan Pengembangan Bidang Aparatur dan Reformasi Birokrasi,1,Open Data Commons Attribution License,2024-09-10,2024-09-10,https://opendata.serangkab.go.id/en_AU/dataset/laporan-pelaksanaan-fasilitasi-pelaksanaan-evaluasi-bidang-aparatur-reformasi-birokrasi-dataset
a7b99447-8a65-45ac-b0e3-01d87102a910,penyediaan-data-agregat-kependudukan-provinsi-dan-kabupatenkota,Penyediaan Data Agregat Kependudukan Provinsi dan KabupatenKota,Dinas Kependudukan dan Pencatatan Sipil Kabupaten Serang,f559badc-48d3-4d75-b573-43bb4b3ab540,Jumlah Penyediaan Data Agregat Kependudukan Provinsi dan KabupatenKota,1,Open Data Commons Attribution License,2024-09-10,2024-09-10,https://opendata.serangkab.go.id/en_AU/dataset/penyediaan-data-agregat-kependudukan-provinsi-dan-kabupatenkota
5e121d28-312c-4076-9e17-199de2047ff3,penduduk-terdampak-krisis-kesehatan-akibat-bencana-danatau-berpotensi-bencana,Penduduk Terdampak Krisis Kesehatan akibat bencana danatau berpotensi bencana,Dinas Kesehatan Kabupaten Serang,7c1399a3-29e7-4ca6-b4ea-8ce821b099cc,Jumlah Penduduk Terdampak Krisis Kesehatan akibat bencana danatau berpotensi bencana,1,Open Data Commons Attribution License,2024-09-10,2024-09-10,https://opendata.serangkab.go.id/en_AU/dataset/penduduk-terdampak-krisis-kesehatan-akibat-bencana-danatau-berpotensi-bencana
31da5ca8-7f3e-4a86-a60a-212b9ed75f6d,pengadaan-blangko-kartu-identitas-anak-kia-untuk-pemenuhan-identitas-resmi-anak,Pengadaan blangko Kartu Identitas Anak (KIA) untuk pemenuhan identitas resmi anak,Dinas Kependudukan dan Pencatatan Sipil Kabupaten Serang,f559badc-48d3-4d75-b573-43bb4b3ab540,Jumlah Pengadaan blangko Kartu Identitas Anak (KIA) untuk pemenuhan identitas resmi anak,1,Open Data Commons Attribution License,2024-09-10,2024-09-10,https://opendata.serangkab.go.id/en_AU/dataset/pengadaan-blangko-kartu-identitas-anak-kia-untuk-pemenuhan-identitas-resmi-anak
fd643100-0546-4050-b9a7-d98e07283158,penduduk-terdampak-dan-beresiko-pada-kondisi-klb,Penduduk terdampak dan beresiko pada kondisi KLB,Dinas Kesehatan Kabupaten Serang,7c1399a3-29e7-4ca6-b4ea-8ce821b099cc,Jumlah Penduduk terdampak dan beresiko pada kondisi KLB,1,Open Data Commons Attribution License,2024-09-10,2024-09-10,https://opendata.serangkab.go.id/en_AU/dataset/penduduk-terdampak-dan-beresiko-pada-kondisi-klb
