b,kode_kecamatan,kode_desa,kecamatan,desa,Hotel,Penginapan,Menara Telepon Seluler,Operator Layanan Komunikasi Telepon Seluler,,,,,,,,,,,,
275,36.04.31,36.04.31.2002,Cinangka,Bantar Waru,0,0,0,4,,,,,,,,,,,,
276,36.04.31,36.04.31.2003,Cinangka,Pasauran,2,1,3,4,,,,,,,,,,,,
277,36.04.31,36.04.31.2004,Cinangka,Bulakan,3,6,2,4,,,,,,,,,,,,
278,36.04.31,36.04.31.2005,Cinangka,Karang Suraga,2,16,3,4,,,,,,,,,,,,
279,36.04.31,36.04.31.2006,Cinangka,Umbul Tanjung,1,0,0,4,,,,,,,,,,,,
280,36.04.31,36.04.31.2007,Cinangka,Kubang Baros,0,0,2,4,,,,,,,,,,,,
281,36.04.31,36.04.31.2008,Cinangka,Ranca Sanggal,0,0,2,3,,,,,,,,,,,,
282,36.04.31,36.04.31.2009,Cinangka,Cikolelet,0,0,3,4,,,,,,,,,,,,
283,36.04.31,36.04.31.2010,Cinangka,Sindang Laya,3,6,1,4,,,,,,,,,,,,
284,36.04.31,36.04.31.2011,Cinangka,Kamasan,1,10,3,6,,,,,,,,,,,,
285,36.04.31,36.04.31.2012,Cinangka,Bantar Wangi,0,0,0,4,,,,,,,,,,,,
286,36.04.31,36.04.31.2013,Cinangka,Mekarsari,0,0,1,3,,,,,,,,,,,,
287,36.04.31,36.04.31.2014,Cinangka,Baros Jaya,0,0,0,4,,,,,,,,,,,,
288,36.04.32,36.04.32.2001,Mancak,Mancak,0,0,1,4,,,,,,,,,,,,
289,36.04.32,36.04.32.2002,Mancak,Ciwarna,0,0,0,4,,,,,,,,,,,,
290,36.04.32,36.04.32.2003,Mancak,Angsana,0,0,0,4,,,,,,,,,,,,
291,36.04.32,36.04.32.2004,Mancak,Talaga,0,0,4,4,,,,,,,,,,,,
292,36.04.32,36.04.32.2005,Mancak,Cikedung,0,0,0,4,,,,,,,,,,,,
293,36.04.32,36.04.32.2006,Mancak,Sigedong,0,0,1,4,,,,,,,,,,,,
294,36.04.32,36.04.32.2007,Mancak,Sangiang,0,0,1,4,,,,,,,,,,,,
295,36.04.32,36.04.32.2008,Mancak,Pasirwaru,0,0,0,4,,,,,,,,,,,,
296,36.04.32,36.04.32.2009,Mancak,Waringin,0,0,2,4,,,,,,,,,,,,
297,36.04.32,36.04.32.2010,Mancak,Winong,0,0,0,4,,,,,,,,,,,,
298,36.04.32,36.04.32.2011,Mancak,Batukuda,0,0,3,4,,,,,,,,,,,,
299,36.04.32,36.04.32.2012,Mancak,Labuan,0,0,3,4,,,,,,,,,,,,
300,36.04.32,36.04.32.2013,Mancak,Bale Kambang,0,0,1,4,,,,,,,,,,,,
301,36.04.32,36.04.32.2014,Mancak,Bale Kencana,0,0,0,4,,,,,,,,,,,,
302,36.04.33,36.04.33.2001,Gunung Sari,Gunungsari,0,0,2,4,,,,,,,,,,,,
303,36.04.33,36.04.33.2002,Gunung Sari,Ciherang,0,0,3,3,,,,,,,,,,,,
304,36.04.33,36.04.33.2003,Gunung Sari,Tamiang,0,0,3,3,,,,,,,,,,,,
305,36.04.33,36.04.33.2004,Gunung Sari,Sukalaba,0,0,1,4,,,,,,,,,,,,
306,36.04.33,36.04.33.2005,Gunung Sari,Kadu Agung,0,0,2,4,,,,,,,,,,,,
307,36.04.33,36.04.33.2006,Gunung Sari,Luwuk,0,0,1,3,,,,,,,,,,,,
308,36.04.33,36.04.33.2007,Gunung Sari,Curug Sulanjana,0,0,0,3,,,,,,,,,,,,
309,36.04.34,36.04.34.2001,Bandung,Bandung,0,0,4,0,,,,,,,,,,,,
310,36.04.34,36.04.34.2002,Bandung,Mander,0,0,3,0,,,,,,,,,,,,
311,36.04.34,36.04.34.2003,Bandung,Penamping,0,0,3,0,,,,,,,,,,,,
312,36.04.34,36.04.34.2004,Bandung,Pangawinan,0,0,2,0,,,,,,,,,,,,
313,36.04.34,36.04.34.2005,Bandung,Malabar,0,0,2,0,,,,,,,,,,,,
314,36.04.34,36.04.34.2006,Bandung,Blokang,0,0,3,0,,,,,,,,,,,,
315,36.04.34,36.04.34.2007,Bandung,Babakan,0,0,4,0,,,,,,,,,,,,
316,36.04.34,36.04.34.2008,Bandung,Pringwulung,0,0,3,0,,,,,,,,,,,,
317,36.04.35,36.04.35.2001,Lebak Wangi,Kamaruton,0,0,1,6,,,,,,,,,,,,
318,36.04.35,36.04.35.2002,Lebak Wangi,Teras Bendung,0,0,3,6,,,,,,,,,,,,
319,36.04.35,36.04.35.2003,Lebak Wangi,Lebak Wangi,0,0,0,5,,,,,,,,,,,,
320,36.04.35,36.04.35.2004,Lebak Wangi,Lebak Kepuh,0,0,0,5,,,,,,,,,,,,
321,36.04.35,36.04.35.2005,Lebak Wangi,Kencana Harapan,0,0,0,5,,,,,,,,,,,,
322,36.04.35,36.04.35.2006,Lebak Wangi,Pegandikan,0,0,2,6,,,,,,,,,,,,
323,36.04.35,36.04.35.2007,Lebak Wangi,Purwadadi,0,0,3,7,,,,,,,,,,,,
324,36.04.35,36.04.35.2008,Lebak Wangi,Bolang,0,0,0,7,,,,,,,,,,,,
325,36.04.35,36.04.35.2009,Lebak Wangi,Tirem,0,0,2,7,,,,,,,,,,,,
326,36.04.35,36.04.35.2010,Lebak Wangi,Kebonratu,0,0,0,5,,,,,,,,,,,,
